title,link,description,published,contributors
Home to Biloela,https://www.theguardian.com/australia-news/audio/2022/jun/15/home-to-biloela,"On Friday, the Nadesalingam family returned to their home town of Biloela in central Queensland, after more than four years in immigration detention. During that time the Tamil family became the face of Australia’s strict asylum seeker policies.Queensland reporter Eden Gillespie documents the family’s return home, and Priya Nadesalingam discusses life after detention",2022-06-15,"Reported by Eden Gillespie and presented by Laura Murphy-Oates; field recording by Mike Bowers;  produced by Joe Koning, Karishma Luthria and Jane Lee; sound design and mixing by Daniel Semo; the executive producers are Miles Martignoni, Gabrielle Jackson and Laura Murphy-Oates"
Life in the firing zone: the occupation of Masafer Yatta,https://www.theguardian.com/australia-news/audio/2022/jun/14/life-in-the-firing-zone-the-occupation-of-masafer-yatta,"After decades trying to resist eviction, the Palestinians living in Masafer Yatta have lost their case in the Israeli supreme court. Bethan McKernan on the controversial decision and the people determined to stay in their homes",2022-06-14,Presented by Nosheen Iqbal with Bethan McKernan; produced by Courtney Yusuf and Axel Kacoutié; Executive Producers Elizabeth Cassin Cassin and Phil Maynard
Why is lettuce so expensive?,https://www.theguardian.com/australia-news/audio/2022/jun/13/why-is-lettuce-so-expensive,A viral photo of an $11.99 iceberg lettuce has become a symbol for rising cost of living pressures in Australia.Reporter Cait Kelly explains to Laura Murphy-Oates why vegetable prices are soaring and what experts – and Guardian readers – say could save you money on groceries,2022-06-13,"Presented by Laura Murphy-Oates with Cait Kelly. Produced by Jane Lee, Allison Chan and Karishma Luthria. Sound design and mixing by Camilla Hannan and Joe Koning. Executive producers Miles Martignoni, Gabrielle Jackson and Laura Murphy-Oates"
What’s with Australia’s foreign affairs offensive in the Indo-Pacific? – with Lenore Taylor,https://www.theguardian.com/australia-news/audio/2022/jun/09/whats-with-australias-foreign-affairs-offensive-in-the-indo-pacific-with-lenore-taylor,"It has been a busy first few weeks for the new government. After the prime minster, Anthony Albanese, and foreign affairs minister, Penny Wong, took off for Tokyo to meet with the Quad shortly after being signed in, Wong then went on two further trips to the Pacific and, this week, they went to Indonesia. In this episode of Full Story, Gabrielle Jackson talks to Lenore Taylor and Mike Ticher about what message Labor is trying to send with its focus on foreign affairs",2022-06-09,Presented by Gabrielle Jackson with Lenore Taylor and Mike Ticher . Produced by Miles Herbert and Camilla Hannan . Executive produced by Miles Martignoni
The ‘energy crisis’ that’s pushing up Australia’s power bills,https://www.theguardian.com/australia-news/audio/2022/jun/09/the-energy-crisis-thats-pushing-up-australias-power-bills,"Energy and climate change minister, Chris Bowen, has held an emergency meeting with state and territory ministers about the impending energy crisis, with electricity prices soaring up to 18% as supply issues plague much of the country. Laura Murphy-Oates speaks with economics correspondent, ​​Peter Hannam, about what’s really behind this crisis and how we could prevent another one",2022-06-09,"Presented by Laura Murphy-Oates with Peter Hannam, Produced by Jane Lee, Karishma Luthria, Sound Design and mixing by Camilla Hannan. Executive Producers  Miles Martignoni,Gabrielle Jackson and Laura Murphy-Oates"
100 days of war in Ukraine,https://www.theguardian.com/australia-news/audio/2022/jun/08/100-days-of-war-in-ukraine,"On 24 February Russia began its assault on Ukraine. The explosions that day marked the end of an era in Europe and changed the lives of millions. Michael Safi talks to Vlodomor Ksienich and Kyrylo Demchenko, two of thousands of young Ukrainians who answered a call to protect their country, as well as hearing from Guardian correspondents Emma Graham-Harrison and Shaun Walker, who have been reporting on the ground",2022-06-08,"Presented by Michael Safi with Vlodomor Ksienich, Kyrylo Demchenko, Emma Graham-Harrison and Shaun Walker. Produced by Courtney Yusuf; sound design by Axel Kacoutié; executive producers are Elizabeth Cassin and Phil Maynard"
"Linda Burney on the Uluru statement, and Labor’s Indigenous affairs agenda",https://www.theguardian.com/australia-news/audio/2022/jun/07/linda-burney-on-the-uluru-statement-and-labors-indigenous-affairs-agenda,"Alongside reforms in Indigenous health, housing, welfare and the justice system, Labor is committing to a referendum on the voice to parliament in their first term of government, all spearheaded by the first Aboriginal woman in cabinet – the new Minister for Indigenous Australians, Linda Burney.Guardian Australia’s Indigenous affairs editor, Lorena Allam, speaks to Linda Burney about how Labor intends to keep these promises",2022-06-07,"Presented by Laura Murphy-Oates with Lorena Allam. Produced by Camilla Hannan, Laura Brierley Newton, and Joe Koning who also did the sound design and mixing. Executive Producers are Miles Martignoni, Gabrielle Jackson, and Laura Murphy-Oates."
‘You can’t be what you can’t see’: who gets to enter Australian politics?,https://www.theguardian.com/australia-news/audio/2022/jun/06/you-cant-be-what-you-cant-see-who-gets-to-enter-australian-politics,"The 47th parliament of Australia has been hailed as the most diverse parliament yet, but diversity advocates say there is still a long way to go before parliament reflects Australian society. So why has it taken so long for Australia’s parliament to look more like its people?Laura Murphy-Oates speaks to diversity advocates Kat Henaway and Tharini Rouwette, and former hopeful Labor candidate Tu Le, about how to improve First Nations and multicultural representation in parliament",2022-06-06,"Presented by Laura Murphy-Oates. Produced by Karishma Luthria, Allison Chan, Jane Lee and Joey Watson. Sound design and mixing by Camilla Hannan. Executive producers Miles Martignoni, Gabrielle Jackson and Laura Murphy-Oates"
The need for vigilance on Australia’s gun laws – with Lenore Taylor,https://www.theguardian.com/australia-news/audio/2022/jun/03/the-need-for-vigilance-on-australias-gun-laws-with-lenore-taylor,"In the wake of another mass shooting in the United States, a debate about gun control has once again kicked off. Every time these tragedies occur, Australia’s gun laws are held up as a universal example of firearm legislation that actually works. But the truth is, not all aspects of the landmark national firearm agreement have been fully implemented. In this episode of Full Story, Gabrielle Jackson talks to Lenore Taylor and Mike Ticher about the need to stay vigilant on gun laws in Australia, and whether or not we are as immune to the influence of the gun lobby as most of us believe",2022-06-03,Presented by Gabrielle Jackson with Lenore Taylor and Mike Ticher. Produced by Miles Herbert and Camilla Hannan. Executive produced by Miles Martignoni  and Gabrielle Jackson.
How will Peter Dutton and David Littleproud reshape the Coalition?,https://www.theguardian.com/australia-news/audio/2022/jun/02/how-will-peter-dutton-and-david-littleproud-reshape-the-coalition,"This week, Liberal MP Peter Dutton was nominated opposition leader, with Nationals MP David Littleproud replacing Barnaby Joyce as deputy. In their first few days of leadership, Dutton and Littleproud have begun to lay out a roadmap for the future of their parties, and what they will stand for as leaders.Rural and regional editor Gabrielle Chan plus political editor Katharine Murphy discuss the political careers of the new leaders, and how their decisions will shape the next parliament",2022-06-02,"Reported by Katharine Murphy and Gabrielle Chan. Presented by Laura Murphy-Oates. Produced by Joe Koning and Allison Chan. Sound design and mixing by Camilla Hannan. Executive producers Miles Martignoni, Gabrielle Jackson and Laura Murphy-Oates"
